ID відповіді,Чи повністю заповнене,Остання сторінка,Дата початку,Дата останньої дії,Чи згодні Ви взяти участь в опитуванні?,Чи виповнилося Вам 18 років?,"Чи брали Ви участь хоча б один раз у протестах, що почалися 16 липня після того, як Михайла Федорова не було повторно призначено міністром оборони?",Ваша стать:,Скільки Вам повних років?,В якій області Ви зараз проживаєте?,Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у школі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у ПТУ/коледжі/училищі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у закладі вищої освіти (студент/курсант/аспірант)],Що найкраще описує рід Вашої діяльності зараз? [Перебуваю у ЗСУ],Що найкраще описує рід Вашої діяльності зараз? [Працюю],Що найкраще описує рід Вашої діяльності зараз? [У декреті або піклуюсь про дитину/інших осіб],Що найкраще описує рід Вашої діяльності зараз? [На пенсії],"Що найкраще описує рід Вашої діяльності зараз? [Не працюю (не маю оплачуваної роботи, не в декреті, не на пенсії, не навчаюсь)]",Що найкраще описує рід Вашої діяльності зараз? [Інше],У якому місті (яких містах) Ви виходили на протест?,Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Мене покликали родичі/друзі/знайомі],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) дописи або повідомлення від людей, яких я знаю особисто, у соцмережах]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) заклик від медіа, блогерів або в тематичних протестних спільнотах, на які я підписаний(-а)]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приєднався(-лась) до організованої групи, до якої належу (студентська спільнота, громадська організація тощо)]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Опинився(-лась) поруч і вирішив(-ла) приєднатися],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приклад родичів/друзів/знайомих, які виходили раніше]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Інше],"Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [З груп/каналів/чатів у соцмережах/месенджерах, присвячених протесту]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Випадково натрапив(-ла) на інформацію у стрічці соцмереж або в месенджерах]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Через новини (новинні сайти, ТБ, друковані медіа, YouTube-канали медіа, новинні Telegram канали тощо)]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Від знайомих/друзів/членів сім’ї/колег]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Інше]",Як би Ви сформулювали мету своєї участі в цих зібраннях?,"Чи виходили Ви на протести після того, як Михайло Драпатий замінив Олександра Сирського на посаді головнокомандувача ЗСУ?",А чи плануєте Ви у найближчий тиждень виходити на протести?,"Якщо Михайла Федорова призначать міністром оборони, чи продовжите Ви виходити на протести у найближчий тиждень після цього?","Припустимо, міністром оборони стане не Федоров, а інша людина, яка публічно зобов'яжеться продовжувати розпочаті ним реформи. Чи продовжите Ви виходити на протести у найближчий тиждень після цього?",Наскільки Ви довіряєте... [Володимиру Зеленському],Наскільки Ви довіряєте... [Михайлу Федорову],Наскільки Ви довіряєте... [Олександру Сирському],Наскільки Ви довіряєте... [Михайлу Драпатому],Наскільки Ви довіряєте... [Ігорю Клименку],Наскільки Ви довіряєте... [Євгенію Хмарі],Яким українським політичним діячам Ви довіряєте найбільше?,"У політиці люди часто говорять про ""лівих"" та ""правих"". Де б Ви розташували себе на цій шкалі, якщо 0 означає ""Ліві"", а 10 означає ""Праві""?","Наскільки Ви погоджуєтесь або не погоджуєтесь із твердженням: ""Слухняність і повага до влади – це найважливіші цінності, які повинні засвоїти діти""?","Наскільки для Вас прийнятно, щоб в Україні був сильний лідер, який стоїть над законом?","Чи брали Ви участь в акціях протесту проти закону №12414, котрий обмежував повноваження НАБУ та САП, хоча б один раз протягом 22-31 липня 2025 року?"
11,Так,10,2026-07-23 21:06:06,2026-07-23 21:14:02,Так,Так,Так,Чоловіча,18,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Зкоординував протести в своєму університет,Так,Ні,Ні,Ні,,"Я поділяю вимоги які були суспільно проартикульовані, і вбачаю свою мету в координації мітингувальників-могилянців, комунікацію з правоохоронними органами заради безпеки самих мітингувальників і держави",Ні,Безумовно так,Точно ні,Скоріше так,4,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,5,5,Вище переліченим,7,Зовсім не погоджуюсь,10 - Цілком прийнятно,Так
12,Так,10,2026-07-23 21:18:30,2026-07-23 21:28:58,Так,Так,Так,Чоловіча,18,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,Постійний учасник більшості протестів ще з початку липня 2025,Так,Ні,Ні,Ні,,"Повернення Федорова на посаду МО, Звільнення Сирського, пост міністра ветеранів- ветерану",Так,Безумовно так,Скоріше так,Безумовно так,3,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,2,5,"Федоров, Драпатий, Портніков,",7,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
13,Так,10,2026-07-23 21:21:46,2026-07-23 21:37:12,Так,Так,Так,Жіноча,18,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,"м. Дніпро, м. Київ",Ні,Ні,Ні,Так,Ні,Так,,Так,Ні,Ні,Так,,"Я вважаю цінним показати керівникам держави те, що нею все ще керує народ, який має власні цінності та переконання, які часто не збігаються з думкою обмеженого кола осіб президента. Боротьба за залишення Федорова на посаді міністра це передовсім боротьба за надію на некорумповану армію, технологічне пришвидшення вирішення війни, справедливість. Одна з моїх особистих причин виходу на мітинг — долучитись до людей, що намагаються почути фідбек Президента. Мене особисто вражає в цьому конфлікті навіть не звільнення Федорова, а відсутність пояснень передумов і причин цього рішення. Я виходжу на мітинг аби ще раз підтвердити, що народ це суб'єкт, а не об'єкт, з якому не варто пояснювати дискусійні рішення.",Так,Безумовно так,Точно ні,Безумовно так,3,6,2,5,Важко сказати,4,"Федоров, Грищук, Стерненко, Качка, Драпатий",7,Зовсім не погоджуюсь,2,Так
14,Так,10,2026-07-23 21:26:03,2026-07-23 21:34:19,Так,Так,Так,Жіноча,25,Перебуваю за кордоном,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,"Прагну підтримати високий рівень управління армією, продемонстрований під командою міністра оборони Федорова, а також посприяти виявленню волі військових, які в силу служби не можуть цього зробити. Також вважаю перестановки від 16 липня, зокрема відставку Михайла Федорова, особистим рішенням радше ніж зваженою кадровою зміною",Ні,Скоріше так,Скоріше ні,Скоріше так,4,5,4,5,2,"Не знаю, хто це",Кирило Буданов,2,Не погоджуюсь,0 - Зовсім неприйнятно,Так
15,Так,10,2026-07-23 21:30:34,2026-07-23 21:37:36,Так,Так,Так,Чоловіча,20,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Так,Ні,Так,Ні,Ні,Ні,,Ні,Ні,Ні,Так,,"Відстояти якісні кадрові призначення та загалом державне управління, що має ґрунтуватися на даних, KPI, поставлених цілях тощо, а не на рейтингах чи інших політичних атрибутах",Ні,Скоріше так,Точно ні,Точно ні,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,6,2,5,"Совсун Інна Романівна, Железняк Ярослав Іванович",5,Не погоджуюсь,0 - Зовсім неприйнятно,Так
16,Так,10,2026-07-23 21:33:00,2026-07-23 21:45:12,Так,Так,Так,Чоловіча,22,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,м. Київ,Так,Ні,Ні,Ні,Ні,Так,,Ні,Ні,Так,Ні,,"Виступ за реформування МОУ, Збройних сил України та системи призову на військову службу; забезпечення Збройних сил України необхідним обладнанням, спорядженням і технологіями для продовження ефективного опору; призначення на посади відповідно до заслуг, результатів роботи, новаторських підходів, а не особистої відданості Президентові України",Ні,Скоріше так,Точно ні,Скоріше ні,4,5,3,4,2,3,,3,Не погоджуюсь,0 - Зовсім неприйнятно,Так
17,Так,10,2026-07-23 21:34:40,2026-07-23 21:42:21,Так,Так,Так,Жіноча,21,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Ні,Так,Так,Ні,,"Сприяння Федорова на посаду МО та відставку Сирського. Великою мотивацією для мене є позиція мого брата - чинного військовослужбовця, який в міру несприятливих умов останній дещо перебуває в дещо деморалізованому стані, велика частка цих умов - неадекватне командування, в тому числі порядку вище бригади. Він дуже негативно зреагував на відставку Федорова та давно критикував Сирського. Також лаяв громадянське суспільство, за те що тил «забив на військових і усім байдуже». Тому для нього в тому числі дуже важливим мотивуючим фактором було побачити як цей самий тил не схавав, відповідно я брала і братиму участь для нього. Додатково маю власну мотивацію, сама хочу доєднатися до війська після завершення навчання і біла бі славна, якби трохи покращилось там із командуванням та закупівлями(з чим намагався щось робити Федоров)",Ні,Безумовно так,Скоріше так,Скоріше так,2,5,1 - Зовсім не довіряю,5,3,5,"Я їм не дуже довіряю загалом, є більш ефективні в моменті, але за ними теж треба слідкувати та не ідеалізувати",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
18,Так,10,2026-07-23 21:34:40,2026-07-23 21:38:08,Так,Так,Так,Чоловіча,23,м. Київ,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Так,Ні,Ні,Ні,Ні,Я проти свавілля Зеленого Імператора,Так,Ні,Ні,Ні,,"Прибрати Сирського - повернути Федорова, перемогти росію",Так,Безумовно так,Скоріше так,Скоріше так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,Важко сказати,Важко сказати,"Федоров, Драпатий, Кличко",7,Зовсім не погоджуюсь,8,Так
19,Так,10,2026-07-23 22:00:08,2026-07-23 22:17:32,Так,Так,Так,Чоловіча,21,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Так,Ні,Ні,,Так,Ні,Ні,Ні,,"Підтримка Фкдорова спершу, адже немає ніяких причин для відставки окрім корупції. Потім впродовж протесту дізнався про проблеми з Сирським і доповнив вимоги його відставкою.",Ні,Безумовно так,Важко відповісти,Важко відповісти,3,7 - Повністю довіряю,2,5,4,2,"Заслужений, Федоров, Железняк",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
20,Так,10,2026-07-23 22:32:34,2026-07-23 22:39:49,Так,Так,Так,Чоловіча,27,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Щоб влада почала нормально комунікувати свої дії. І якщо нема поважної причини не брати Федорова нахад на посаду МО, щоб його повернули на посаду, оскільки за короткий проміжок часу, він зміг показати свою ефективність.",Так,Безумовно так,Скоріше ні,Скоріше так,4,6,2,6,1 - Зовсім не довіряю,5,"Важко відповісти наразі, оскільки дуже багато інформації закрито.",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
21,Так,10,2026-07-24 00:14:48,2026-07-24 00:25:01,Так,Так,Так,Інше,26,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Так,,Так,Ні,Так,Так,,"Підтримати протестний рух, сили громадянського суспільства, що домагаються на різних рівнях (включаючи на рівні протестів) відновлення Федорова на посаді міністра оборони, а також відставки Сирського.",Так,Скоріше так,Точно ні,Важко відповісти,Важко сказати,7 - Повністю довіряю,2,7 - Повністю довіряю,5,7 - Повністю довіряю,"Сергій Притула, Інна Совсун",0 - Ліві,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
22,Так,10,2026-07-24 00:21:43,2026-07-24 00:37:39,Так,Так,Так,Чоловіча,19,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Так,Ні,,"відставка сирського, антивладний виступ",Ні,Важко відповісти,Важко відповісти,Скоріше ні,2,4,2,4,3,4,,4,Не погоджуюсь,3,Так
23,Так,10,2026-07-24 02:29:05,2026-07-24 02:33:18,Так,Так,Так,Чоловіча,20,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Громадська позиція,Так,Ні,Ні,Ні,,Прийняти участь у значній події. Виказати свій протест. Вплинути на владу.,Ні,Безумовно так,Точно ні,Скоріше так,3,5,2,5,"Не знаю, хто це","Не знаю, хто це",,6,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
24,Так,10,2026-07-24 07:19:54,2026-07-24 07:37:43,Так,Так,Так,Чоловіча,20,Волинська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Так,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,"Влада має відкрито пояснити реальні причини відставки Юлії Свириденко за проханням президента та наслідки, які ця відставка спричинила. Крім того, під час війни неприпустима невизначеність: нардепи повинні негайно зібратися на позачергове засідання і призначити очільників Міноборони та МЗС",Ні,Безумовно так,Важко відповісти,Точно ні,3,5,1 - Зовсім не довіряю,4,1 - Зовсім не довіряю,5,Дмитро Разумков,3,Не погоджуюсь,0 - Зовсім неприйнятно,Так
25,Так,10,2026-07-24 09:48:25,2026-07-24 09:51:57,Так,Так,Так,Жіноча,21,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Так,Ні,Так,,Так,Так,Ні,Так,,"Припинення кулуарних змін у системі, усе має бути аргументовано якісно та прозоро.",Так,Безумовно так,Скоріше так,Безумовно так,1 - Зовсім не довіряю,5,5,6,3,5,"Залужний, Порошенко",8,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
26,Так,10,2026-07-24 10:03:05,2026-07-24 10:09:22,Так,Так,Так,Чоловіча,21,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Звільненню Федорова радіють тільки росіяни та проросійські шавки - більше аргументів не потрібно.,Так,Безумовно так,Точно ні,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,2,"Федоров, Драпатий, Свириденко.",8,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
27,Ні,7,2026-07-24 10:03:55,2026-07-24 10:12:10,Так,Так,Так,Інше,27,м. Київ,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,disability rights activist,Київ,Ні,Ні,Ні,Ні,Ні,Ні,"побачили інформацію від умовно незнайомих людей про дату і місце протестів, вирішили що це збігається з моїм світоглядом: нічий приклад або заклик не цікавив",Так,Ні,Ні,Ні,,"Відставка з посад людей, які системно чинили зло; залучення на посади фахових і компетентних людей; курс на цифровізацію та технології в армії та в усіх державних сферах замість застарілих підходів що не цінують людські життя; курс на протидію корупції та лобізму; підсилення голосів військових і ветеранів.",Так,Скоріше так,Важко відповісти,Важко відповісти,,,,,,,,,,,
28,Так,10,2026-07-24 10:13:57,2026-07-24 10:17:34,Так,Так,Так,Чоловіча,18,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Ні,Так,Так,Ні,Ні,,Так,Так,Ні,Ні,,"Продемонструвати небайдужість та підтримати усіх, хто вийшов.",Ні,Важко відповісти,Скоріше ні,Безумовно так,4,5,2,5,3,4,"Прокопенко, Федоров, Драпатий",3,"Наскільки погоджуюсь, настільки і не погоджуюсь",Важко сказати,Ні
29,Ні,7,2026-07-24 10:13:58,2026-07-24 10:21:22,Так,Так,Так,Жіноча,20,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Так,Так,Ні,Ні,Ні,Ні,,Так,Ні,Ні,Так,,"Припинення безпідставної відставки ефективних членів уряду. І на фоні додаткової інформації стосовно конфлікту з Сирським -- відновлення подальшої реформації процесів взаємодії мін оборони з армією, процесів всередині армії, а не перешкоджання їй",Ні,Важко відповісти,Точно ні,Скоріше ні,,,,,,,,,,,
30,Так,10,2026-07-24 10:14:15,2026-07-24 10:23:36,Так,Так,Так,Чоловіча,31,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Так,Ні,Так,,"Отримати обґрунтоване пояснення причини звільнення всього складу Кабінету Міністрів по кожному з міністрів у вигляді брифінгів від кожного звільненого ТА новопризначених міністрів; повернути Михайла Федорова на посаду міністра оборони України, бо у нас немає часу на те щоб новий міністр чи тво входили у курс справ щоб почати реальну роботу; відставка генерала Сирського (тут я чисто представляв думку своїх друзів-військових, яким я довіряю і яких я представляв на протестах, бо їм було заборонено приймати участь самостійно)",Так,Безумовно так,Точно ні,Скоріше так,2,6,2,5,3,5,"Роман Лозинський (голос), Дмитро Кулеба (колишній міністр МЗС), Михайло Федоров",Важко сказати,Важко сказати,3,Ні
31,Ні,5,2026-07-24 10:14:18,2026-07-24 10:16:12,Так,Так,Так,Жіноча,19,Київська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,"Київ, Кривий Ріг",Ні,Ні,Ні,Так,Ні,Ні,Самі організовували:)),Так,Ні,Ні,Ні,,,,,,,,,,,,,,,,,
